token,frequency,is_stopword_candidate,is_yarn_specific,ontology_class,flag_reason
container,1512,True,True,DATA,top 1% frequency; Yarn/Hadoop-specific term; ontology: DATA
yarn,1103,True,True,,top 1% frequency; Yarn/Hadoop-specific term
application,1095,True,True,COMPONENT,top 1% frequency; Yarn/Hadoop-specific term; ontology: COMPONENT
resource,939,True,False,,top 1% frequency
queue,921,True,True,,top 1% frequency; Yarn/Hadoop-specific term
node,921,True,False,,top 1% frequency
support,785,True,False,,top 1% frequency
user,673,True,False,,top 1% frequency
service,638,True,False,COMPONENT,top 1% frequency; ontology: COMPONENT
add,628,True,False,,top 1% frequency
cluster,556,True,True,,top 1% frequency; Yarn/Hadoop-specific term
scheduler,517,True,True,,top 1% frequency; Yarn/Hadoop-specific term
app,484,True,False,,top 1% frequency
request,432,True,False,CONNECTOR,top 1% frequency; ontology: CONNECTOR
log,361,True,False,DATA,top 1% frequency; ontology: DATA
change,338,True,False,,top 1% frequency
job,321,True,False,,top 1% frequency
time,319,True,False,,top 1% frequency
api,318,True,False,,top 1% frequency
file,312,True,False,DATA,top 1% frequency; ontology: DATA
client,308,True,False,,top 1% frequency
allow,306,True,False,,top 1% frequency
create,304,True,False,,top 1% frequency
base,282,True,False,,top 1% frequency
capacity,279,True,False,,top 1% frequency
configuration,277,True,False,DATA,top 1% frequency; ontology: DATA
currently,274,True,False,,top 1% frequency
provide,265,True,False,,top 1% frequency
scheduling,252,True,False,,top 1% frequency
start,247,True,False,,top 1% frequency
state,244,True,False,,top 1% frequency
task,235,True,False,,top 1% frequency
allocation,227,True,False,,top 1% frequency
work,226,True,False,,top 1% frequency
memory,216,True,False,,top 1% frequency
label,216,True,False,,top 1% frequency
different,214,True,False,,top 1% frequency
implement,210,True,False,,top 1% frequency
timeline,206,True,False,,top 1% frequency
type,204,True,False,,top 1% frequency
local,204,True,False,,top 1% frequency
well,203,True,False,,top 1% frequency
docker,202,True,False,,top 1% frequency
process,201,True,False,,top 1% frequency
server,200,True,False,,top 1% frequency
store,199,False,False,,
implementation,196,False,False,,
policy,196,False,False,,
enable,193,False,False,,
launch,192,False,False,,
case,192,False,False,,
restart,190,False,False,,
allocate,190,False,False,,
info,190,False,False,,
rest,190,False,False,,
event,189,False,False,,
datum,186,False,False,,
list,175,False,False,,
level,173,False,False,,
current,172,False,False,,
propose,172,False,False,,
preemption,171,False,False,,
heartbeat,170,False,False,,
multiple,169,False,False,,
information,169,False,False,,
call,168,False,False,CONNECTOR,ontology: CONNECTOR
class,167,False,False,COMPONENT,ontology: COMPONENT
example,164,False,False,,
share,162,False,False,,
way,160,False,False,,
require,159,False,False,,
exist,158,False,False,,
code,158,False,False,,
fair,157,False,False,,
web,154,False,False,,
submit,151,False,False,,
track,151,False,False,,
manager,150,False,False,,
entity,147,False,False,,
long,146,False,False,,
feature,143,False,False,,
framework,140,False,False,COMPONENT,ontology: COMPONENT
introduce,139,False,False,,
handle,139,False,False,,
fail,138,False,False,,
design,138,False,False,,
want,136,False,False,,
able,136,False,False,,
cpu,136,False,False,,
write,135,False,False,CONNECTOR,ontology: CONNECTOR
interface,134,False,False,COMPONENT,ontology: COMPONENT
default,132,False,False,,
specify,129,False,False,,
gpu,128,False,False,,
config,125,False,False,,
hdfs,124,False,False,,
large,124,False,False,,
attempt,122,False,False,,
kill,122,False,False,,
configure,122,False,False,,
mechanism,122,False,False,,
specific,121,False,False,,
limit,121,False,False,,
take,120,False,False,,
cache,120,False,False,,
system,119,False,False,,
token,118,False,False,,
without,118,False,False,,
available,118,False,False,,
umbrella,118,False,False,,
value,117,False,False,,
improve,115,False,False,,
follow,115,False,False,,
instead,114,False,False,,
