row_index,key,token_count
0,YARN-10650,18
1,YARN-11025,52
2,YARN-11005,48
3,YARN-11003,49
4,YARN-11002,232
5,YARN-10980,74
6,YARN-10955,145
7,YARN-10930,72
8,YARN-10928,68
9,YARN-10899,57
10,YARN-10898,56
11,YARN-10889,9
12,YARN-10843,17
13,YARN-10835,84
14,YARN-10790,42
15,YARN-10782,21
16,YARN-10759,29
17,YARN-10758,46
18,YARN-10755,40
19,YARN-10738,42
20,YARN-10714,47
21,YARN-10655,61
22,YARN-10623,39
23,YARN-10621,169
24,YARN-10617,46
25,YARN-10598,105
26,YARN-10585,28
27,YARN-10581,53
28,YARN-10579,28
29,YARN-10571,28
30,YARN-10564,50
31,YARN-10546,27
32,YARN-10534,50
33,YARN-10524,90
34,YARN-10521,40
35,YARN-10514,61
36,YARN-10512,39
37,YARN-10505,102
38,YARN-10496,116
39,YARN-10493,20
40,YARN-10478,32
41,YARN-10473,16
42,YARN-10449,63
43,YARN-10436,45
44,YARN-10433,65
45,YARN-10432,49
46,YARN-10431,51
47,YARN-10422,79
48,YARN-10421,150
49,YARN-10406,95
50,YARN-10389,40
51,YARN-10384,55
52,YARN-10376,47
53,YARN-10375,37
54,YARN-10374,32
55,YARN-10370,43
56,YARN-10043,13
57,YARN-10352,81
58,YARN-10335,25
59,YARN-10333,49
60,YARN-10323,63
61,YARN-10311,22
62,YARN-10304,45
63,YARN-10292,26
64,YARN-10281,28
65,YARN-10276,28
66,YARN-10246,33
67,YARN-10238,46
68,YARN-10229,89
69,YARN-10216,57
70,YARN-10028,26
71,YARN-10214,19
72,YARN-10181,17
73,YARN-10162,39
74,YARN-10126,31
75,YARN-10114,27
76,YARN-10101,26
77,YARN-10100,31
78,YARN-10099,125
79,YARN-10096,6
80,YARN-10094,21
81,YARN-10079,15
82,YARN-10062,29
83,YARN-10039,14
84,YARN-10032,51
85,YARN-10031,44
86,YARN-10022,19
87,YARN-9927,60
88,YARN-9936,84
89,YARN-9926,53
90,YARN-9923,112
91,YARN-9916,54
92,YARN-9904,55
93,YARN-9899,96
94,YARN-9897,116
95,YARN-9879,23
96,YARN-9848,28
97,YARN-9809,24
98,YARN-9805,24
99,YARN-9748,12
100,YARN-9726,48
101,YARN-9802,19
102,YARN-9768,49
103,YARN-9761,21
104,YARN-9760,47
105,YARN-9746,71
106,YARN-9754,28
107,YARN-9753,92
108,YARN-9737,64
109,YARN-9730,110
110,YARN-9698,48
111,YARN-9697,63
112,YARN-9686,101
113,YARN-9671,50
114,YARN-9669,196
115,YARN-9664,26
116,YARN-9663,39
117,YARN-9656,73
118,YARN-9652,39
119,YARN-9634,78
120,YARN-9633,32
121,YARN-9618,58
122,YARN-9609,46
123,YARN-9607,66
124,YARN-9603,49
125,YARN-9577,25
126,YARN-9555,43
127,YARN-9528,16
128,YARN-9439,12
129,YARN-9499,52
130,YARN-9477,40
131,YARN-9473,75
132,YARN-9472,17
133,YARN-9443,32
134,YARN-9421,250
135,YARN-9416,32
136,YARN-9414,38
137,YARN-9378,70
138,YARN-9366,44
139,YARN-9346,28
140,YARN-9345,58
141,YARN-9313,12
142,YARN-9298,17
143,YARN-9292,128
144,YARN-9287,21
145,YARN-9276,35
146,YARN-9249,51
147,YARN-9230,23
148,YARN-9228,62
149,YARN-9200,94
150,YARN-9174,27
151,YARN-9150,44
152,YARN-9146,51
153,YARN-9145,18
154,YARN-9116,75
155,YARN-9098,128
156,YARN-9086,27
157,YARN-9059,13
158,YARN-9060,50
159,YARN-9056,34
160,YARN-9055,93
161,YARN-9050,217
162,YARN-9045,73
163,YARN-9038,26
164,YARN-9034,19
165,YARN-9023,126
166,YARN-9021,45
167,YARN-9016,161
168,YARN-9015,44
169,YARN-9014,91
170,YARN-9003,50
171,YARN-9000,145
172,YARN-8993,29
173,YARN-8964,51
174,YARN-8982,20
175,YARN-8962,24
176,YARN-8761,22
177,YARN-8981,120
178,YARN-8978,60
179,YARN-8967,36
180,YARN-8965,37
181,YARN-8953,29
182,YARN-8913,82
183,YARN-8890,19
184,YARN-8903,162
185,YARN-8895,49
186,YARN-8889,34
187,YARN-8887,40
188,YARN-8886,22
189,YARN-8884,29
190,YARN-8882,24
191,YARN-8881,30
192,YARN-8880,32
193,YARN-8863,47
194,YARN-8862,42
195,YARN-8851,52
196,YARN-8850,8
197,YARN-8849,240
198,YARN-8848,11
199,YARN-8839,85
200,YARN-8838,39
201,YARN-8836,36
202,YARN-8834,44
203,YARN-8827,90
204,YARN-8821,344
205,YARN-8820,79
206,YARN-8811,34
207,YARN-8766,13
208,YARN-8765,44
209,YARN-8763,72
210,YARN-8762,42
211,YARN-8736,50
212,YARN-8731,21
213,YARN-8697,48
214,YARN-8696,111
215,YARN-8686,29
216,YARN-8684,26
217,YARN-8673,60
218,YARN-8670,85
219,YARN-8643,79
220,YARN-8651,53
221,YARN-8639,36
222,YARN-8638,138
223,YARN-8634,24
224,YARN-8626,31
225,YARN-8621,27
226,YARN-8618,30
227,YARN-8599,27
228,YARN-8598,38
229,YARN-8597,67
230,YARN-8572,26
231,YARN-8583,96
232,YARN-8571,88
233,YARN-8559,46
234,YARN-8556,16
235,YARN-8551,46
236,YARN-8533,28
237,YARN-8532,57
238,YARN-8499,27
239,YARN-8495,58
240,YARN-8493,113
241,YARN-8489,80
242,YARN-8488,21
243,YARN-8472,42
244,YARN-8468,165
245,YARN-8451,66
246,YARN-8461,50
247,YARN-8452,20
248,YARN-8446,72
249,YARN-8412,30
250,YARN-8411,37
251,YARN-8392,33
252,YARN-8304,39
253,YARN-8379,71
254,YARN-8364,90
255,YARN-8361,64
256,YARN-8356,22
257,YARN-8352,29
258,YARN-8306,34
259,YARN-8345,132
260,YARN-8333,47
261,YARN-8320,62
262,YARN-8314,35
263,YARN-8303,43
264,YARN-8298,33
265,YARN-8286,42
266,YARN-8283,124
267,YARN-8256,147
268,YARN-8250,53
269,YARN-8240,7
270,YARN-8238,30
271,YARN-8192,39
272,YARN-8186,21
273,YARN-8178,74
274,YARN-8170,103
275,YARN-8157,42
276,YARN-8146,21
277,YARN-8137,23
278,YARN-8134,18
279,YARN-8131,22
280,YARN-8104,13
281,YARN-8103,21
282,YARN-8100,20
283,YARN-8092,18
284,YARN-8081,14
285,YARN-8080,108
286,YARN-7307,29
287,YARN-8065,25
288,YARN-8052,35
289,YARN-8042,95
290,YARN-8038,41
291,YARN-8018,29
292,YARN-8015,31
293,YARN-8014,31
294,YARN-8013,79
295,YARN-8007,29
296,YARN-7996,38
297,YARN-7976,17
298,YARN-7974,33
299,YARN-7972,37
300,YARN-7939,37
301,YARN-7934,29
302,YARN-7931,21
303,YARN-7930,29
304,YARN-7929,61
305,YARN-7904,20
306,YARN-7923,97
307,YARN-7900,32
308,YARN-7882,77
309,YARN-7876,28
310,YARN-7871,24
311,YARN-7863,15
312,YARN-7858,30
313,YARN-7856,29
314,YARN-7854,56
315,YARN-7848,31
316,YARN-7847,38
317,YARN-7842,17
318,YARN-7839,61
319,YARN-7831,33
320,YARN-7825,32
321,YARN-7812,24
322,YARN-7806,55
323,YARN-7606,27
324,YARN-7790,86
325,YARN-7778,59
326,YARN-7774,54
327,YARN-7724,25
328,YARN-7713,20
329,YARN-7707,16
330,YARN-7694,34
331,YARN-7686,71
332,YARN-7672,45
333,YARN-7670,16
334,YARN-7669,15
335,YARN-7666,29
336,YARN-7662,54
337,YARN-7660,35
338,YARN-7657,41
339,YARN-7655,112
340,YARN-7653,39
341,YARN-7033,30
342,YARN-7643,29
343,YARN-7634,43
344,YARN-7622,28
345,YARN-7621,48
346,YARN-7612,25
347,YARN-7605,76
348,YARN-7599,35
349,YARN-7583,38
350,YARN-7540,105
351,YARN-7530,15
352,YARN-7522,29
353,YARN-7520,39
354,YARN-7506,138
355,YARN-7495,26
356,YARN-7494,22
357,YARN-7492,12
358,YARN-7481,79
359,YARN-7473,54
360,YARN-7469,64
361,YARN-7468,19
362,YARN-7457,54
363,YARN-7441,18
364,YARN-7438,48
365,YARN-7423,4
366,YARN-7419,58
367,YARN-7405,32
368,YARN-7399,184
369,YARN-7384,11
370,YARN-7376,22
371,YARN-7368,45
372,YARN-7297,28
373,YARN-7292,95
374,YARN-7282,18
375,YARN-7273,118
376,YARN-7272,24
377,YARN-7271,45
378,YARN-7265,78
379,YARN-7250,94
380,YARN-7224,243
381,YARN-7218,148
382,YARN-7217,272
383,YARN-7215,71
384,YARN-7193,50
385,YARN-7192,33
386,YARN-1637,17
387,YARN-7159,39
388,YARN-7158,41
389,YARN-7142,22
390,YARN-7129,19
391,YARN-7127,4
392,YARN-7117,59
393,YARN-7109,5
