rank,token,total_count,document_frequency,percent_of_documents
1,simpleclassname,1656,622,40.26
2,container,1408,448,29.0
3,application,1025,400,25.89
4,yarn,962,485,31.39
5,resource,892,346,22.39
6,queue,858,221,14.3
7,support,780,454,29.39
8,node,776,281,18.19
9,use,776,451,29.19
10,rm,745,346,22.39
11,user,602,248,16.05
12,add,597,420,27.18
13,run,581,316,20.45
14,service,575,238,15.4
15,need,567,430,27.83
16,scheduler,484,239,15.47
17,cluster,474,254,16.44
18,methodorvariablename,456,203,13.14
19,nm,452,209,13.53
20,request,413,210,13.59
21,new,411,261,16.89
22,would,365,226,14.63
23,simplemethodorvariablename,342,153,9.9
24,make,331,253,16.38
25,change,330,227,14.69
26,jira,316,279,18.06
27,api,311,186,12.04
28,job,304,144,9.32
29,one,301,208,13.46
30,time,292,193,12.49
31,allow,289,205,13.27
32,file,285,116,7.51
33,create,280,187,12.1
34,log,277,91,5.89
35,set,276,164,10.61
36,client,276,153,9.9
37,currently,272,250,16.18
38,configuration,272,145,9.39
39,get,266,172,11.13
40,provide,263,196,12.69
41,schedule,260,145,9.39
42,app,250,129,8.35
43,could,249,178,11.52
44,like,244,193,12.49
45,capacity,239,122,7.9
46,base,233,178,11.52
47,state,228,112,7.25
48,start,214,134,8.67
49,task,213,108,6.99
50,different,213,142,9.19
51,implement,200,152,9.84
52,process,200,91,5.89
53,also,198,174,11.26
54,timeline,198,97,6.28
55,work,197,146,9.45
56,data,195,119,7.7
57,store,191,112,7.25
58,policy,190,90,5.83
59,implementation,189,138,8.93
60,rest,189,113,7.31
61,type,184,86,5.57
62,memory,183,84,5.44
63,launch,182,94,6.08
64,case,181,140,9.06
65,allocate,179,114,7.38
66,docker,177,56,3.62
67,event,176,61,3.95
68,may,176,134,8.67
69,allocation,174,109,7.06
70,current,171,149,9.64
71,restart,171,87,5.63
72,information,169,115,7.44
73,multiple,169,124,8.03
74,label,167,50,3.24
75,heartbeat,166,72,4.66
76,preemption,166,58,3.75
77,track,166,141,9.13
78,call,163,95,6.15
79,example,162,129,8.35
80,issue,161,118,7.64
81,way,160,132,8.54
82,server,159,89,5.76
83,enable,159,127,8.22
84,handle,158,121,7.83
85,share,156,71,4.6
86,require,155,122,7.9
87,list,154,94,6.08
88,exist,153,130,8.41
89,code,149,103,6.67
90,apps,149,93,6.02
91,manager,146,81,5.24
92,per,146,104,6.73
93,well,143,125,8.09
94,fair,142,62,4.01
95,feature,142,98,6.34
96,entity,137,48,3.11
97,propose,135,123,7.96
98,want,135,108,6.99
99,able,135,116,7.51
100,web,134,68,4.4
101,update,133,93,6.02
102,submit,132,84,5.44
103,design,131,115,7.44
104,hadoop,130,73,4.72
105,interface,129,83,5.37
106,framework,127,71,4.6
107,specify,126,76,4.92
108,class,125,69,4.47
109,follow,125,112,7.25
110,hdfs,122,69,4.47
111,level,121,77,4.98
112,take,120,99,6.41
113,default,118,74,4.79
114,priority,118,50,3.24
115,available,117,91,5.89
116,write,117,75,4.85
117,kill,117,62,4.01
118,umbrella,116,102,6.6
119,mechanism,116,72,4.66
120,without,116,105,6.8
121,etc,114,101,6.54
122,introduce,114,97,6.28
123,large,114,76,4.92
124,improve,113,91,5.89
125,cache,113,43,2.78
126,instead,111,92,5.95
127,fail,109,66,4.27
128,problem,108,77,4.98
129,good,108,97,6.28
130,attempt,108,54,3.5
131,federation,108,71,4.6
132,many,107,76,4.92
133,cpu,107,43,2.78
134,classname,106,43,2.78
135,system,106,71,4.6
136,versionnumber,106,42,2.72
137,configure,106,77,4.98
138,via,106,87,5.63
139,first,105,76,4.92
140,number,105,81,5.24
141,long,105,75,4.85
142,directory,105,44,2.85
143,move,105,76,4.92
144,local,104,56,3.62
145,token,104,42,2.72
146,instance,104,50,3.24
147,value,103,51,3.3
148,separate,103,75,4.85
149,limit,103,64,4.14
150,load,103,62,4.01
151,placement,103,50,3.24
152,two,101,80,5.18
153,give,101,77,4.98
154,single,101,78,5.05
155,return,100,66,4.27
156,however,99,94,6.08
157,reservation,99,48,3.11
158,test,99,61,3.95
159,config,98,49,3.17
160,possible,98,94,6.08
161,specific,98,74,4.79
162,logic,97,64,4.14
163,part,97,85,5.5
164,gpu,97,20,1.29
165,check,96,62,4.01
166,disk,96,39,2.52
167,order,95,68,4.4
168,access,95,57,3.69
169,map,94,52,3.37
170,parent,94,45,2.91
171,storage,94,38,2.46
172,component,93,49,3.17
173,method,92,44,2.85
174,apis,92,59,3.82
175,ui,92,58,3.75
176,name,91,50,3.24
177,id,91,49,3.17
178,include,90,82,5.31
179,send,90,65,4.21
180,thread,88,48,3.11
181,manage,87,66,4.27
182,eg,87,70,4.53
183,filepath,87,44,2.85
184,solution,87,74,4.79
185,since,87,74,4.79
186,query,86,47,3.04
187,scenario,85,70,4.53
188,today,85,74,4.79
189,management,84,52,3.37
190,common,83,71,4.6
191,functionality,83,57,3.69
192,option,83,56,3.62
193,define,81,56,3.62
194,still,80,69,4.47
195,cause,80,68,4.4
196,operation,80,50,3.24
197,command,80,42,2.72
198,router,80,41,2.65
199,even,79,71,4.6
200,flow,79,32,2.07
201,opportunistic,78,32,2.07
202,key,78,41,2.65
203,address,77,52,3.37
204,every,77,61,3.95
205,read,77,45,2.91
206,consider,77,59,3.82
207,similar,77,73,4.72
208,host,77,46,2.98
209,aggregation,77,26,1.68
210,usage,76,50,3.24
211,preempt,76,39,2.52
212,performance,76,54,3.5
213,already,75,71,4.6
214,let,75,60,3.88
215,upgrade,75,31,2.01
216,core,74,34,2.2
217,path,74,40,2.59
218,extend,74,57,3.69
219,image,74,18,1.17
220,try,74,61,3.95
221,constraint,73,34,2.2
222,see,72,65,4.21
