issue_id,issue_key,project,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments,design_decision_types
,YARN-10650,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-11025,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-11005,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-11003,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-11002,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-10980,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True True
,YARN-10955,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-10930,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10928,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10899,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-10898,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10889,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10843,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10835,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10790,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10782,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10759,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10758,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10755,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10738,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-10714,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
