issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-10650,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-11025,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-11005,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-11003,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-11002,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10980,False True True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10955,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10930,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10928,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10899,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10898,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10889,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10843,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10835,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10790,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10782,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10759,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10758,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10755,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10738,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10714,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10655,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10623,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10621,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10617,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10598,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10585,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10581,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10579,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10571,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10564,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
