rank,token,total_count,document_frequency,percent_documents,candidate_class,decision,source,reason
1,simpleclassname,1656,622,40.26,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
2,container,1408,448,29.0,,review,high_frequency,High-frequency token without exact ontology match
3,application,1025,400,25.89,Component,review,ontology_exact_match,Exact match in ontology sheet
4,yarn,962,485,31.39,Project_or_generic,review,manual_rule,project name; often too broad for topic modeling
5,resource,892,346,22.39,,review,high_frequency,High-frequency token without exact ontology match
6,queue,858,221,14.3,Component|Pattern,review,ontology_exact_match,Exact match in ontology sheet
7,support,780,454,29.39,,review,high_frequency,High-frequency token without exact ontology match
8,node,776,281,18.19,Technology,review,ontology_exact_match,Exact match in ontology sheet
9,use,776,451,29.19,,review,high_frequency,High-frequency token without exact ontology match
10,rm,745,346,22.39,,review,high_frequency,High-frequency token without exact ontology match
11,user,602,248,16.05,Component,review,ontology_exact_match,Exact match in ontology sheet
12,add,597,420,27.18,,review,high_frequency,High-frequency token without exact ontology match
13,run,581,316,20.45,,review,high_frequency,High-frequency token without exact ontology match
14,service,575,238,15.4,Component,review,ontology_exact_match,Exact match in ontology sheet
15,need,567,430,27.83,,review,high_frequency,High-frequency token without exact ontology match
16,scheduler,484,239,15.47,,review,high_frequency,High-frequency token without exact ontology match
17,cluster,474,254,16.44,,review,high_frequency,High-frequency token without exact ontology match
18,methodorvariablename,456,203,13.14,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
19,nm,452,209,13.53,,review,high_frequency,High-frequency token without exact ontology match
20,request,413,210,13.59,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
21,new,411,261,16.89,,review,high_frequency,High-frequency token without exact ontology match
22,would,365,226,14.63,,review,high_frequency,High-frequency token without exact ontology match
23,simplemethodorvariablename,342,153,9.9,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
24,make,331,253,16.38,,review,high_frequency,High-frequency token without exact ontology match
25,change,330,227,14.69,Connector,review,ontology_exact_match,Exact match in ontology sheet
26,jira,316,279,18.06,Project_or_generic,review,manual_rule,issue-tracker term; often too broad for topic modeling
27,api,311,186,12.04,Component|Technology,review,ontology_exact_match,Exact match in ontology sheet
28,job,304,144,9.32,Component,review,ontology_exact_match,Exact match in ontology sheet
29,one,301,208,13.46,,review,high_frequency,High-frequency token without exact ontology match
30,time,292,193,12.49,,review,high_frequency,High-frequency token without exact ontology match
31,allow,289,205,13.27,,review,high_frequency,High-frequency token without exact ontology match
32,file,285,116,7.51,Component,review,ontology_exact_match,Exact match in ontology sheet
33,create,280,187,12.1,,review,high_frequency,High-frequency token without exact ontology match
34,log,277,91,5.89,Requirement,review,ontology_exact_match,Exact match in ontology sheet
35,set,276,164,10.61,,review,high_frequency,High-frequency token without exact ontology match
36,client,276,153,9.9,Component|Pattern,review,ontology_exact_match,Exact match in ontology sheet
37,currently,272,250,16.18,,review,high_frequency,High-frequency token without exact ontology match
38,configuration,272,145,9.39,,review,high_frequency,High-frequency token without exact ontology match
39,get,266,172,11.13,Connector,review,ontology_exact_match,Exact match in ontology sheet
40,provide,263,196,12.69,,review,high_frequency,High-frequency token without exact ontology match
41,schedule,260,145,9.39,,review,high_frequency,High-frequency token without exact ontology match
42,app,250,129,8.35,Component,review,ontology_exact_match,Exact match in ontology sheet
43,could,249,178,11.52,,review,high_frequency,High-frequency token without exact ontology match
44,like,244,193,12.49,,review,high_frequency,High-frequency token without exact ontology match
45,capacity,239,122,7.9,,review,high_frequency,High-frequency token without exact ontology match
46,base,233,178,11.52,,review,high_frequency,High-frequency token without exact ontology match
47,state,228,112,7.25,,review,high_frequency,High-frequency token without exact ontology match
48,start,214,134,8.67,,review,high_frequency,High-frequency token without exact ontology match
49,task,213,108,6.99,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
50,different,213,142,9.19,,review,high_frequency,High-frequency token without exact ontology match
51,implement,200,152,9.84,Connector,review,ontology_exact_match,Exact match in ontology sheet
52,process,200,91,5.89,Component,review,ontology_exact_match,Exact match in ontology sheet
53,also,198,174,11.26,,review,high_frequency,High-frequency token without exact ontology match
54,timeline,198,97,6.28,,review,high_frequency,High-frequency token without exact ontology match
55,work,197,146,9.45,,review,high_frequency,High-frequency token without exact ontology match
56,data,195,119,7.7,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
57,store,191,112,7.25,Component|Connector,review,ontology_exact_match,Exact match in ontology sheet
58,policy,190,90,5.83,Requirement,review,ontology_exact_match,Exact match in ontology sheet
59,implementation,189,138,8.93,,review,high_frequency,High-frequency token without exact ontology match
60,rest,189,113,7.31,Pattern|Technology,review,ontology_exact_match,Exact match in ontology sheet
61,type,184,86,5.57,,review,high_frequency,High-frequency token without exact ontology match
62,memory,183,84,5.44,,review,high_frequency,High-frequency token without exact ontology match
63,launch,182,94,6.08,,review,high_frequency,High-frequency token without exact ontology match
64,case,181,140,9.06,Requirement,review,ontology_exact_match,Exact match in ontology sheet
65,allocate,179,114,7.38,,review,high_frequency,High-frequency token without exact ontology match
66,docker,177,56,3.62,Technology,review,ontology_exact_match,Exact match in ontology sheet
67,event,176,61,3.95,Component,review,ontology_exact_match,Exact match in ontology sheet
68,may,176,134,8.67,,review,high_frequency,High-frequency token without exact ontology match
69,allocation,174,109,7.06,,review,high_frequency,High-frequency token without exact ontology match
70,current,171,149,9.64,,review,high_frequency,High-frequency token without exact ontology match
71,restart,171,87,5.63,,review,high_frequency,High-frequency token without exact ontology match
72,information,169,115,7.44,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
73,multiple,169,124,8.03,,review,high_frequency,High-frequency token without exact ontology match
74,label,167,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
75,heartbeat,166,72,4.66,Pattern,review,ontology_exact_match,Exact match in ontology sheet
76,preemption,166,58,3.75,,review,high_frequency,High-frequency token without exact ontology match
77,track,166,141,9.13,,review,high_frequency,High-frequency token without exact ontology match
78,call,163,95,6.15,Connector|Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
79,example,162,129,8.35,,review,high_frequency,High-frequency token without exact ontology match
80,issue,161,118,7.64,,review,high_frequency,High-frequency token without exact ontology match
81,way,160,132,8.54,,review,high_frequency,High-frequency token without exact ontology match
82,server,159,89,5.76,Component|Pattern,review,ontology_exact_match,Exact match in ontology sheet
83,enable,159,127,8.22,,review,high_frequency,High-frequency token without exact ontology match
84,handle,158,121,7.83,,review,high_frequency,High-frequency token without exact ontology match
85,share,156,71,4.6,Connector,review,ontology_exact_match,Exact match in ontology sheet
86,require,155,122,7.9,,review,high_frequency,High-frequency token without exact ontology match
87,list,154,94,6.08,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
88,exist,153,130,8.41,,review,high_frequency,High-frequency token without exact ontology match
89,code,149,103,6.67,,review,high_frequency,High-frequency token without exact ontology match
90,apps,149,93,6.02,Component,review,ontology_exact_match,Exact match in ontology sheet
91,manager,146,81,5.24,,review,high_frequency,High-frequency token without exact ontology match
92,per,146,104,6.73,,review,high_frequency,High-frequency token without exact ontology match
93,well,143,125,8.09,,review,high_frequency,High-frequency token without exact ontology match
94,fair,142,62,4.01,,review,high_frequency,High-frequency token without exact ontology match
95,feature,142,98,6.34,,review,high_frequency,High-frequency token without exact ontology match
96,entity,137,48,3.11,Component,review,ontology_exact_match,Exact match in ontology sheet
97,propose,135,123,7.96,,review,high_frequency,High-frequency token without exact ontology match
98,want,135,108,6.99,,review,high_frequency,High-frequency token without exact ontology match
99,able,135,116,7.51,,review,high_frequency,High-frequency token without exact ontology match
100,web,134,68,4.4,,review,high_frequency,High-frequency token without exact ontology match
101,update,133,93,6.02,,review,high_frequency,High-frequency token without exact ontology match
102,submit,132,84,5.44,,review,high_frequency,High-frequency token without exact ontology match
103,design,131,115,7.44,,review,high_frequency,High-frequency token without exact ontology match
104,hadoop,130,73,4.72,Technology,review,ontology_exact_match,Exact match in ontology sheet
105,interface,129,83,5.37,Component,review,ontology_exact_match,Exact match in ontology sheet
106,framework,127,71,4.6,Technology,review,ontology_exact_match,Exact match in ontology sheet
107,specify,126,76,4.92,,review,high_frequency,High-frequency token without exact ontology match
108,class,125,69,4.47,Component,review,ontology_exact_match,Exact match in ontology sheet
109,follow,125,112,7.25,,review,high_frequency,High-frequency token without exact ontology match
110,hdfs,122,69,4.47,Technology,review,ontology_exact_match,Exact match in ontology sheet
111,level,121,77,4.98,,review,high_frequency,High-frequency token without exact ontology match
112,take,120,99,6.41,,review,high_frequency,High-frequency token without exact ontology match
113,default,118,74,4.79,,review,high_frequency,High-frequency token without exact ontology match
114,priority,118,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
115,available,117,91,5.89,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
116,write,117,75,4.85,Connector,review,ontology_exact_match,Exact match in ontology sheet
117,kill,117,62,4.01,,review,high_frequency,High-frequency token without exact ontology match
118,umbrella,116,102,6.6,,review,high_frequency,High-frequency token without exact ontology match
119,mechanism,116,72,4.66,,review,high_frequency,High-frequency token without exact ontology match
120,without,116,105,6.8,,review,high_frequency,High-frequency token without exact ontology match
121,etc,114,101,6.54,,review,high_frequency,High-frequency token without exact ontology match
122,introduce,114,97,6.28,,review,high_frequency,High-frequency token without exact ontology match
123,large,114,76,4.92,,review,high_frequency,High-frequency token without exact ontology match
124,improve,113,91,5.89,,review,high_frequency,High-frequency token without exact ontology match
125,cache,113,43,2.78,Pattern,review,ontology_exact_match,Exact match in ontology sheet
126,instead,111,92,5.95,,review,high_frequency,High-frequency token without exact ontology match
127,fail,109,66,4.27,,review,high_frequency,High-frequency token without exact ontology match
128,problem,108,77,4.98,,review,high_frequency,High-frequency token without exact ontology match
129,good,108,97,6.28,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
130,attempt,108,54,3.5,,review,high_frequency,High-frequency token without exact ontology match
131,federation,108,71,4.6,,review,high_frequency,High-frequency token without exact ontology match
132,many,107,76,4.92,,review,high_frequency,High-frequency token without exact ontology match
133,cpu,107,43,2.78,,review,high_frequency,High-frequency token without exact ontology match
134,classname,106,43,2.78,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
135,system,106,71,4.6,Component,review,ontology_exact_match,Exact match in ontology sheet
136,versionnumber,106,42,2.72,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
137,configure,106,77,4.98,,review,high_frequency,High-frequency token without exact ontology match
138,via,106,87,5.63,,review,high_frequency,High-frequency token without exact ontology match
139,first,105,76,4.92,,review,high_frequency,High-frequency token without exact ontology match
140,number,105,81,5.24,,review,high_frequency,High-frequency token without exact ontology match
141,long,105,75,4.85,,review,high_frequency,High-frequency token without exact ontology match
142,directory,105,44,2.85,,review,high_frequency,High-frequency token without exact ontology match
143,move,105,76,4.92,,review,high_frequency,High-frequency token without exact ontology match
144,local,104,56,3.62,,review,high_frequency,High-frequency token without exact ontology match
145,token,104,42,2.72,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
146,instance,104,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
147,value,103,51,3.3,Requirement,review,ontology_exact_match,Exact match in ontology sheet
148,separate,103,75,4.85,,review,high_frequency,High-frequency token without exact ontology match
149,limit,103,64,4.14,,review,high_frequency,High-frequency token without exact ontology match
150,load,103,62,4.01,,review,high_frequency,High-frequency token without exact ontology match
151,placement,103,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
152,two,101,80,5.18,,review,high_frequency,High-frequency token without exact ontology match
153,give,101,77,4.98,,review,high_frequency,High-frequency token without exact ontology match
154,single,101,78,5.05,,review,high_frequency,High-frequency token without exact ontology match
155,return,100,66,4.27,,review,high_frequency,High-frequency token without exact ontology match
156,however,99,94,6.08,,review,high_frequency,High-frequency token without exact ontology match
157,reservation,99,48,3.11,,review,high_frequency,High-frequency token without exact ontology match
158,test,99,61,3.95,,review,high_frequency,High-frequency token without exact ontology match
159,config,98,49,3.17,,review,high_frequency,High-frequency token without exact ontology match
160,possible,98,94,6.08,,review,high_frequency,High-frequency token without exact ontology match
161,specific,98,74,4.79,,review,high_frequency,High-frequency token without exact ontology match
162,logic,97,64,4.14,Component,review,ontology_exact_match,Exact match in ontology sheet
163,part,97,85,5.5,,review,high_frequency,High-frequency token without exact ontology match
164,gpu,97,20,1.29,,review,high_frequency,High-frequency token without exact ontology match
165,check,96,62,4.01,Connector,review,ontology_exact_match,Exact match in ontology sheet
166,disk,96,39,2.52,,review,high_frequency,High-frequency token without exact ontology match
167,order,95,68,4.4,,review,high_frequency,High-frequency token without exact ontology match
168,access,95,57,3.69,Connector,review,ontology_exact_match,Exact match in ontology sheet
169,map,94,52,3.37,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
170,parent,94,45,2.91,,review,high_frequency,High-frequency token without exact ontology match
171,storage,94,38,2.46,,review,high_frequency,High-frequency token without exact ontology match
172,component,93,49,3.17,Component,review,ontology_exact_match,Exact match in ontology sheet
173,method,92,44,2.85,Component,review,ontology_exact_match,Exact match in ontology sheet
174,apis,92,59,3.82,Component,review,ontology_exact_match,Exact match in ontology sheet
175,ui,92,58,3.75,,review,high_frequency,High-frequency token without exact ontology match
176,name,91,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
177,id,91,49,3.17,,review,high_frequency,High-frequency token without exact ontology match
178,include,90,82,5.31,,review,high_frequency,High-frequency token without exact ontology match
179,send,90,65,4.21,Connector,review,ontology_exact_match,Exact match in ontology sheet
180,thread,88,48,3.11,Component,review,ontology_exact_match,Exact match in ontology sheet
181,manage,87,66,4.27,,review,high_frequency,High-frequency token without exact ontology match
182,eg,87,70,4.53,,review,high_frequency,High-frequency token without exact ontology match
183,filepath,87,44,2.85,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
184,solution,87,74,4.79,,review,high_frequency,High-frequency token without exact ontology match
185,since,87,74,4.79,,review,high_frequency,High-frequency token without exact ontology match
186,query,86,47,3.04,,review,high_frequency,High-frequency token without exact ontology match
187,scenario,85,70,4.53,,review,high_frequency,High-frequency token without exact ontology match
188,today,85,74,4.79,,review,high_frequency,High-frequency token without exact ontology match
189,management,84,52,3.37,Requirement,review,ontology_exact_match,Exact match in ontology sheet
190,common,83,71,4.6,,review,high_frequency,High-frequency token without exact ontology match
191,functionality,83,57,3.69,Requirement,review,ontology_exact_match,Exact match in ontology sheet
192,option,83,56,3.62,,review,high_frequency,High-frequency token without exact ontology match
193,define,81,56,3.62,,review,high_frequency,High-frequency token without exact ontology match
194,still,80,69,4.47,,review,high_frequency,High-frequency token without exact ontology match
195,cause,80,68,4.4,,review,high_frequency,High-frequency token without exact ontology match
196,operation,80,50,3.24,Component,review,ontology_exact_match,Exact match in ontology sheet
197,command,80,42,2.72,,review,high_frequency,High-frequency token without exact ontology match
198,router,80,41,2.65,Pattern,review,ontology_exact_match,Exact match in ontology sheet
199,even,79,71,4.6,,review,high_frequency,High-frequency token without exact ontology match
200,flow,79,32,2.07,,review,high_frequency,High-frequency token without exact ontology match
201,opportunistic,78,32,2.07,,review,high_frequency,High-frequency token without exact ontology match
202,key,78,41,2.65,,review,high_frequency,High-frequency token without exact ontology match
203,address,77,52,3.37,Connector,review,ontology_exact_match,Exact match in ontology sheet
204,every,77,61,3.95,,review,high_frequency,High-frequency token without exact ontology match
205,read,77,45,2.91,Connector,review,ontology_exact_match,Exact match in ontology sheet
206,consider,77,59,3.82,,review,high_frequency,High-frequency token without exact ontology match
207,similar,77,73,4.72,,review,high_frequency,High-frequency token without exact ontology match
208,host,77,46,2.98,Component,review,ontology_exact_match,Exact match in ontology sheet
209,aggregation,77,26,1.68,,review,high_frequency,High-frequency token without exact ontology match
210,usage,76,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
211,preempt,76,39,2.52,,review,high_frequency,High-frequency token without exact ontology match
212,performance,76,54,3.5,Requirement,review,ontology_exact_match,Exact match in ontology sheet
213,already,75,71,4.6,,review,high_frequency,High-frequency token without exact ontology match
214,let,75,60,3.88,,review,high_frequency,High-frequency token without exact ontology match
215,upgrade,75,31,2.01,,review,high_frequency,High-frequency token without exact ontology match
216,core,74,34,2.2,,review,high_frequency,High-frequency token without exact ontology match
217,path,74,40,2.59,,review,high_frequency,High-frequency token without exact ontology match
218,extend,74,57,3.69,,review,high_frequency,High-frequency token without exact ontology match
219,image,74,18,1.17,,review,high_frequency,High-frequency token without exact ontology match
220,try,74,61,3.95,,review,high_frequency,High-frequency token without exact ontology match
221,constraint,73,34,2.2,,review,high_frequency,High-frequency token without exact ontology match
222,see,72,65,4.21,,review,high_frequency,High-frequency token without exact ontology match
223,structuredcodeblock,72,48,3.11,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
224,high,71,61,3.95,,review,high_frequency,High-frequency token without exact ontology match
225,might,71,60,3.88,,review,high_frequency,High-frequency token without exact ontology match
226,aggregate,71,38,2.46,,review,high_frequency,High-frequency token without exact ontology match
227,detail,70,64,4.14,,review,high_frequency,High-frequency token without exact ontology match
228,back,70,55,3.56,,review,high_frequency,High-frequency token without exact ontology match
229,expose,69,55,3.56,Connector,review,ontology_exact_match,Exact match in ontology sheet
230,collector,69,33,2.14,,review,high_frequency,High-frequency token without exact ontology match
231,filter,69,36,2.33,Pattern,review,ontology_exact_match,Exact match in ontology sheet
232,proxy,69,33,2.14,Pattern,review,ontology_exact_match,Exact match in ontology sheet
233,remove,68,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
234,active,68,38,2.46,,review,high_frequency,High-frequency token without exact ontology match
235,find,67,53,3.43,,review,high_frequency,High-frequency token without exact ontology match
236,control,67,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
237,utilization,66,40,2.59,,review,high_frequency,High-frequency token without exact ontology match
238,mode,66,39,2.52,,review,high_frequency,High-frequency token without exact ontology match
239,info,66,42,2.72,,review,high_frequency,High-frequency token without exact ontology match
240,nodemanager,65,38,2.46,,review,high_frequency,High-frequency token without exact ontology match
241,help,65,52,3.37,,review,high_frequency,High-frequency token without exact ontology match
242,protocol,65,49,3.17,Technology,review,ontology_exact_match,Exact match in ontology sheet
243,finish,65,37,2.39,,review,high_frequency,High-frequency token without exact ontology match
244,within,64,54,3.5,,review,high_frequency,High-frequency token without exact ontology match
245,ability,64,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
246,across,64,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
247,complete,63,46,2.98,,review,high_frequency,High-frequency token without exact ontology match
248,requirement,63,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
249,size,63,44,2.85,,review,high_frequency,High-frequency token without exact ontology match
250,distribute,62,45,2.91,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
251,side,62,44,2.85,,review,high_frequency,High-frequency token without exact ontology match
252,property,62,33,2.14,,review,high_frequency,High-frequency token without exact ontology match
253,point,62,53,3.43,,review,high_frequency,High-frequency token without exact ontology match
254,easy,62,59,3.82,,review,high_frequency,High-frequency token without exact ontology match
255,proposal,62,53,3.43,,review,high_frequency,High-frequency token without exact ontology match
256,place,62,53,3.43,,review,high_frequency,High-frequency token without exact ontology match
257,failure,62,37,2.39,,review,high_frequency,High-frequency token without exact ontology match
258,behavior,62,43,2.78,,review,high_frequency,High-frequency token without exact ontology match
259,know,62,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
260,think,61,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
261,go,61,57,3.69,,review,high_frequency,High-frequency token without exact ontology match
262,hbase,61,35,2.27,Technology,review,ontology_exact_match,Exact match in ontology sheet
263,attribute,61,28,1.81,,review,high_frequency,High-frequency token without exact ontology match
264,increase,60,38,2.46,,review,high_frequency,High-frequency token without exact ontology match
265,useful,60,52,3.37,,review,high_frequency,High-frequency token without exact ontology match
266,patch,60,44,2.85,,review,high_frequency,High-frequency token without exact ontology match
267,approach,60,47,3.04,,review,high_frequency,High-frequency token without exact ontology match
268,come,60,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
269,security,60,34,2.2,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
270,version,59,38,2.46,,review,high_frequency,High-frequency token without exact ontology match
271,keep,59,51,3.3,,review,high_frequency,High-frequency token without exact ontology match
272,response,59,39,2.52,Connector,review,ontology_exact_match,Exact match in ontology sheet
273,look,59,47,3.04,,review,high_frequency,High-frequency token without exact ontology match
